#Onset,Duration,Annotation
2002-02-04T22:07:23.0000000,30,Wake
2002-02-04T22:07:53.0000000,30,Wake
2002-02-04T22:08:23.0000000,30,Wake
2002-02-04T22:08:53.0000000,30,Wake
2002-02-04T22:09:23.0000000,30,Wake
2002-02-04T22:09:53.0000000,30,Wake
2002-02-04T22:10:23.0000000,30,Wake
2002-02-04T22:10:53.0000000,30,Wake
2002-02-04T22:11:23.0000000,30,Wake
2002-02-04T22:11:53.0000000,30,Wake
2002-02-04T22:12:23.0000000,30,Wake
2002-02-04T22:12:53.0000000,30,Wake
2002-02-04T22:13:23.0000000,30,Wake
2002-02-04T22:13:53.0000000,30,Wake
2002-02-04T22:14:23.0000000,30,Wake
2002-02-04T22:14:53.0000000,30,Wake
2002-02-04T22:15:23.0000000,30,Wake
2002-02-04T22:15:53.0000000,30,Wake
2002-02-04T22:16:23.0000000,30,Wake
2002-02-04T22:16:53.0000000,30,Wake
2002-02-04T22:17:23.0000000,30,Wake
2002-02-04T22:17:53.0000000,30,Wake
2002-02-04T22:18:23.0000000,30,Wake
2002-02-04T22:18:53.0000000,30,Wake
2002-02-04T22:19:23.0000000,30,Wake
2002-02-04T22:19:53.0000000,30,Wake
2002-02-04T22:20:23.0000000,30,Wake
2002-02-04T22:20:53.0000000,30,Wake
2002-02-04T22:21:23.0000000,30,Wake
2002-02-04T22:21:53.0000000,30,Wake
2002-02-04T22:22:23.0000000,30,Wake
2002-02-04T22:22:53.0000000,30,Wake
2002-02-04T22:23:23.0000000,30,Wake
2002-02-04T22:23:53.0000000,30,Wake
2002-02-04T22:24:23.0000000,30,Wake
2002-02-04T22:24:53.0000000,30,Wake
2002-02-04T22:25:23.0000000,30,Wake
2002-02-04T22:25:53.0000000,30,Wake
2002-02-04T22:26:23.0000000,30,Wake
2002-02-04T22:26:53.0000000,30,Wake
2002-02-04T22:27:23.0000000,30,Wake
2002-02-04T22:27:53.0000000,30,Wake
2002-02-04T22:28:23.0000000,30,Wake
2002-02-04T22:28:53.0000000,30,Wake
2002-02-04T22:29:23.0000000,30,Wake
2002-02-04T22:29:53.0000000,30,Wake
2002-02-04T22:30:23.0000000,30,Wake
2002-02-04T22:30:53.0000000,30,Wake
2002-02-04T22:31:23.0000000,30,Wake
2002-02-04T22:31:53.0000000,30,Wake
2002-02-04T22:32:23.0000000,30,Wake
2002-02-04T22:32:53.0000000,30,Wake
